filepath,disease,signer,label
landmarks/HEART ATTACK/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_22.npy,HEART ATTACK,arinjit kataki,24
landmarks/Ear Ache/Biraj/Biraj__Biraj__BIRAJ_5.npy,Ear Ache,biraj,19
landmarks/Sunburn/Biraj/Biraj__Biraj__BIRAJ_27.npy,Sunburn,biraj,42
landmarks/SORE THROAT/prakash/PRAKASH_20.npy,SORE THROAT,prakash,37
landmarks/TB/Akash/Akash__Akash__AKASH_17.npy,TB,akash,44
landmarks/SORE THROAT/pranati/PRANATI_7.npy,SORE THROAT,pranati,37
landmarks/FLU/chayanika/CHAYANIKA_24.npy,FLU,chayanika,20
landmarks/SORE THROAT/chayanika/CHAYANIKA_23.npy,SORE THROAT,chayanika,37
landmarks/Dizziness/anindita/WIN_20250602_12_14_50_Pro.npy,Dizziness,anindita,18
landmarks/Faint/junali/JUNALI_23.npy,Faint,junali,21
landmarks/CONJUCTIVITIES/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_19.npy,CONJUCTIVITIES,arinjit kataki,10
landmarks/Dizziness/anindita/Anindita_3.npy,Dizziness,anindita,18
landmarks/HEART ATTACK/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_26.npy,HEART ATTACK,harkhapratim gogoi,24
landmarks/Bleed/rupanjali/RUPANJALI_30.npy,Bleed,rupanjali,6
landmarks/Diabetes/rinki/RINKI_29.npy,Diabetes,rinki,17
landmarks/STOMACH ACHE/prakash/PRAKASH_21.npy,STOMACH ACHE,prakash,39
landmarks/HEAD ACHE/prakash/PRAKASH_22.npy,HEAD ACHE,prakash,23
landmarks/HEAD ACHE/arinjit kataki/ARINJIT_25.npy,HEAD ACHE,arinjit kataki,23
landmarks/HEAT BURN/arinjit kataki/ARINJIT_ 2.npy,HEAT BURN,arinjit kataki,25
landmarks/Bleed/rupanjali/RUPANJALI_3.npy,Bleed,rupanjali,6
landmarks/Hiv/anindita/ANINDITA_7.npy,Hiv,anindita,27
landmarks/FLU/prakash/PRAKASH_7.npy,FLU,prakash,20
landmarks/BRUISE/arinjit kataki/ARINJIT_4.npy,BRUISE,arinjit kataki,4
landmarks/HEAD ACHE/pranati/PRANATI_19.npy,HEAD ACHE,pranati,23
landmarks/HEAT BURN/harkhapratim gogoi/HARKAPRATIM_15.npy,HEAT BURN,harkhapratim gogoi,25
landmarks/TB/Akash/Akash__Akash__AKASH_26.npy,TB,akash,44
landmarks/Sunburn/Biraj/Biraj__Biraj__BIRAJ_5.npy,Sunburn,biraj,42
landmarks/Vomit/Bishal/Bishal__Bishal__BISHAL_9.npy,Vomit,bishal,46
landmarks/Dizziness/Rinki/Rinki__Rinki__WIN_20250602_12_34_48_Pro.npy,Dizziness,rinki,18
landmarks/HEAD ACHE/pranati/PRANATI_8.npy,HEAD ACHE,pranati,23
landmarks/BRUISE/prakash/PRAKASH_5.npy,BRUISE,prakash,4
landmarks/nausea/junali/JUNALI_16.npy,nausea,junali,47
landmarks/Swell/Rajkumar/Rajkumar__Rajkumar__WIN_20250602_11_14_11_Pro.npy,Swell,rajkumar,43
landmarks/CHICKEN POX/AKASH/AKASH__AKASH__AKASH_22.npy,CHICKEN POX,akash,9
landmarks/Cold/Bishal/Bishal__Bishal__BISHAL_21.npy,Cold,bishal,12
landmarks/Cancer/rupanjali/RUPANJALI_16.npy,Cancer,rupanjali,11
landmarks/Broken Arm/Shubham/Shubham__Shubham__SHUBHAM_20.npy,Broken Arm,shubham,8
landmarks/Sore Finger/Rinki/Rinki__Rinki__Rinki_23.npy,Sore Finger,rinki,41
landmarks/SHOULDER PAIN/chayanika/CHAYANIKA_17.npy,SHOULDER PAIN,chayanika,36
landmarks/Cut/Biraj/Biraj__Biraj__BIRAJ_6.npy,Cut,biraj,15
landmarks/Sore Finger/Anindita/Anindita__Anindita__Anindita_4.npy,Sore Finger,anindita,41
landmarks/STOMACH ACHE/pranati/PRANATI_14.npy,STOMACH ACHE,pranati,39
landmarks/STD/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_20.npy,STD,harkhapratim gogoi,38
landmarks/Tooth ache/anindita/WIN_20250602_12_11_04_Pro.npy,Tooth ache,anindita,45
landmarks/Itch/rajkumar/RAJKUMAR_17.npy,Itch,rajkumar,29
landmarks/TB/Arinjit Kataki/Arinjit_Kataki__Arinjit_Kataki__ARINJIT_15.npy,TB,arinjit kataki,44
landmarks/SORE THROAT/pranati/PRANATI_14.npy,SORE THROAT,pranati,37
landmarks/DIARRHOEA/harkhapratim gogoi/HARKHAPRATIM_11.npy,DIARRHOEA,harkhapratim gogoi,16
landmarks/Measles/rinki/RINKI_34.npy,Measles,rinki,32
landmarks/HEART ATTACK/AKASH/AKASH__AKASH__AKASH_22.npy,HEART ATTACK,akash,24
landmarks/Tooth ache/Rinki/Rinki__Rinki__Rinki_19.npy,Tooth ache,rinki,45
landmarks/Cold/Biraj/Biraj__Biraj__BIRAJ_5.npy,Cold,biraj,12
landmarks/Bone Fracture/rupanjali/RUPANJALI_14.npy,Bone Fracture,rupanjali,7
landmarks/DIARRHOEA/Naresh/Naresh__Naresh__NARESH_15.npy,DIARRHOEA,naresh,16
landmarks/TB/Akash/Akash__Akash__AKASH_34.npy,TB,akash,44
landmarks/BROKEN BONES/chayanika/CHAYANIKA_16.npy,BROKEN BONES,chayanika,3
landmarks/Cough/Shubham/Shubham__Shubham__SHUBHAM_14.npy,Cough,shubham,13
landmarks/TB/harkhapratim gogoi/HARKHAPRATIM_4.npy,TB,harkhapratim gogoi,44
landmarks/STD/AKASH/AKASH__AKASH__AKASH_34.npy,STD,akash,38
landmarks/JAUNDICE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_40.npy,JAUNDICE,arinjit kataki,30
landmarks/Retching/rajkumar/RAJKUMAR_1.npy,Retching,rajkumar,35
landmarks/CONJUCTIVITIES/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_13.npy,CONJUCTIVITIES,harkhapratim gogoi,10
landmarks/ASTHMA/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_9.npy,ASTHMA,harkhapratim gogoi,0
landmarks/STD/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_43.npy,STD,arinjit kataki,38
landmarks/Ear Ache/Kalyan/Kalyan__Kalyan__KALYAN_29.npy,Ear Ache,kalyan,19
landmarks/HEPATITIS/AKASH/AKASH__AKASH__AKASH_27.npy,HEPATITIS,akash,26
landmarks/Swell/Junali/Junali__Junali__WIN_20250602_11_59_32_Pro.npy,Swell,junali,43
landmarks/Retching/junali/JUNALI_12.npy,Retching,junali,35
landmarks/RUNNY NOSE/arinjit kataki/ARINJIT_1.npy,RUNNY NOSE,arinjit kataki,33
landmarks/ASTHMA/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_27.npy,ASTHMA,arinjit kataki,0
landmarks/Fever/anindita/WIN_20250602_12_28_34_Pro.npy,Fever,anindita,22
landmarks/Broken Arm/Umiraj/Umiraj__Umiraj__UMIRAJ_12.npy,Broken Arm,umiraj,8
landmarks/Faint/rinki/RINKI_20.npy,Faint,rinki,21
landmarks/Ear Ache/Umiraj/Umiraj__Umiraj__UMIRAJ_28.npy,Ear Ache,umiraj,19
landmarks/BROKEN BONES/prakash/PRAKASH_5.npy,BROKEN BONES,prakash,3
landmarks/TB/Suresh/Suresh__Suresh__SURESH_7.npy,TB,suresh,44
landmarks/Ear Ache/Umiraj/Umiraj__Umiraj__UMIRAJ_29.npy,Ear Ache,umiraj,19
landmarks/HEPATITIS/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_14.npy,HEPATITIS,harkhapratim gogoi,26
landmarks/MUMPSE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_39.npy,MUMPSE,arinjit kataki,31
landmarks/Hiv/rajkumar/RAJKUMAR_47.npy,Hiv,rajkumar,27
landmarks/TB/Akash/Akash__Akash__AKASH_18.npy,TB,akash,44
landmarks/MUMPSE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_24.npy,MUMPSE,arinjit kataki,31
landmarks/Cut/Kalyan/Kalyan__Kalyan__KALYAN_12.npy,Cut,kalyan,15
landmarks/HEAD ACHE/prakash/PRAKASH_18.npy,HEAD ACHE,prakash,23
landmarks/nausea/rupanjali/RUPANJALI_28.npy,nausea,rupanjali,47
landmarks/Cold/Biraj/Biraj__Biraj__BIRAJ_24.npy,Cold,biraj,12
landmarks/Hiv/junali/JUNALI_5.npy,Hiv,junali,27
landmarks/Allergies/Kalyan/Kalyan__Kalyan__KALYAN_26.npy,Allergies,kalyan,1
landmarks/Faint/rajkumar/RAJKUMAR_15.npy,Faint,rajkumar,21
landmarks/Cancer/rinki/RINKI_26.npy,Cancer,rinki,11
landmarks/ASTHMA/NARESH/NARESH__NARESH__NARESH_3.npy,ASTHMA,naresh,0
landmarks/Ear Ache/Bishal/Bishal__Bishal__BISHAL_45.npy,Ear Ache,bishal,19
landmarks/Cold/Bishal/Bishal__Bishal__BISHAL_34.npy,Cold,bishal,12
landmarks/Dizziness/Rinki/Rinki__Rinki__Rinki_16.npy,Dizziness,rinki,18
landmarks/Measles/rupanjali/RUPANJALI_16.npy,Measles,rupanjali,32
landmarks/CONJUCTIVITIES/NARESH/NARESH__NARESH__NARESH_3.npy,CONJUCTIVITIES,naresh,10
landmarks/STOMACH ACHE/prakash/PRAKASH_6.npy,STOMACH ACHE,prakash,39
landmarks/Dizziness/anindita/WIN_20250602_12_14_41_Pro.npy,Dizziness,anindita,18
landmarks/JAUNDICE/NARESH/NARESH__NARESH__NARESH_16.npy,JAUNDICE,naresh,30
landmarks/Fever/Rinki/Rinki__Rinki__WIN_20250602_12_57_38_Pro.npy,Fever,rinki,22
landmarks/Broken Arm/Kalyan/Kalyan__Kalyan__KALYAN_42.npy,Broken Arm,kalyan,8
landmarks/CONJUCTIVITIES/AKASH/AKASH__AKASH__AKASH_1.npy,CONJUCTIVITIES,akash,10
landmarks/SORE THROAT/prakash/PRAKASH_15.npy,SORE THROAT,prakash,37
landmarks/HEART ATTACK/NARESH/NARESH__NARESH__NARESH_10.npy,HEART ATTACK,naresh,24
landmarks/Sneeze/Anindita/Anindita__Anindita__Anindita_18.npy,Sneeze,anindita,40
landmarks/SORE THROAT/harkhapratim gogoi/HARKAPRATIM_10.npy,SORE THROAT,harkhapratim gogoi,37
landmarks/ASTHMA/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_10.npy,ASTHMA,harkhapratim gogoi,0
landmarks/Cut/Bishal/Bishal__Bishal__BISHAL_32.npy,Cut,bishal,15
landmarks/Cough/Bishal/Bishal__Bishal__BISHAL_7.npy,Cough,bishal,13
landmarks/Injury/Biraj/Biraj__Biraj__BIRAJ_33.npy,Injury,biraj,28
landmarks/BRUISE/pranati/PRANATI_13.npy,BRUISE,pranati,4
landmarks/Cold/Shubham/Shubham__Shubham__SHUBHAM_17.npy,Cold,shubham,12
landmarks/JAUNDICE/AKASH/AKASH__AKASH__AKASH_34.npy,JAUNDICE,akash,30
landmarks/Cold/Biraj/Biraj__Biraj__BIRAJ_4.npy,Cold,biraj,12
landmarks/Measles/rinki/RINKI_15.npy,Measles,rinki,32
landmarks/Broken Arm/Shubham/Shubham__Shubham__SHUBHAM_10.npy,Broken Arm,shubham,8
landmarks/Fever/Junali/Junali__Junali__Junali_17.npy,Fever,junali,22
landmarks/Broken Arm/Biraj/Biraj__Biraj__BIRAJ_7.npy,Broken Arm,biraj,8
landmarks/Cut/Kalyan/Kalyan__Kalyan__KALYAN_7.npy,Cut,kalyan,15
landmarks/Sunburn/Biraj/Biraj__Biraj__BIRAJ_14.npy,Sunburn,biraj,42
landmarks/CHICKEN POX/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_17.npy,CHICKEN POX,arinjit kataki,9
landmarks/Injury/Kalyan/Kalyan__Kalyan__KALYAN_1.npy,Injury,kalyan,28
landmarks/Tooth ache/anindita/WIN_20250602_12_11_39_Pro.npy,Tooth ache,anindita,45
landmarks/MUMPSE/NARESH/NARESH__NARESH__NARESH_6.npy,MUMPSE,naresh,31
landmarks/BRUISE/arinjit kataki/ARINJIT_20.npy,BRUISE,arinjit kataki,4
landmarks/SHOULDER PAIN/prakash/PRAKASH_18.npy,SHOULDER PAIN,prakash,36
landmarks/Injury/Shubham/Shubham__Shubham__SHUBHAM_23.npy,Injury,shubham,28
landmarks/Allergies/Kalyan/Kalyan__Kalyan__KALYAN_12.npy,Allergies,kalyan,1
landmarks/Injury/Umiraj/Umiraj__Umiraj__UMIRAJ_14.npy,Injury,umiraj,28
landmarks/Swell/anindita/Anindita_21.npy,Swell,anindita,43
landmarks/Broken Arm/Kalyan/Kalyan__Kalyan__KALYAN_8.npy,Broken Arm,kalyan,8
landmarks/SORE THROAT/harkhapratim gogoi/HARKAPRATIM_2.npy,SORE THROAT,harkhapratim gogoi,37
landmarks/Injury/Biraj/Biraj__Biraj__BIRAJ_25.npy,Injury,biraj,28
landmarks/Ear Ache/Biraj/Biraj__Biraj__BIRAJ_26.npy,Ear Ache,biraj,19
landmarks/Swell/Rinki/Rinki__Rinki__WIN_20250602_12_42_20_Pro.npy,Swell,rinki,43
landmarks/STD/AKASH/AKASH__AKASH__AKASH_3.npy,STD,akash,38
landmarks/Cough/Umiraj/Umiraj__Umiraj__UMIRAJ_12.npy,Cough,umiraj,13
landmarks/Bone Fracture/junali/JUNALI_12.npy,Bone Fracture,junali,7
landmarks/Tooth ache/anindita/Anindita_17.npy,Tooth ache,anindita,45
landmarks/Cut/Umiraj/Umiraj__Umiraj__UMIRAJ_16.npy,Cut,umiraj,15
landmarks/STOMACH ACHE/chayanika/CHAYANIKA_22.npy,STOMACH ACHE,chayanika,39
landmarks/RUNNY NOSE/chayanika/CHAYANIKA_12.npy,RUNNY NOSE,chayanika,33
landmarks/Cramp/Junali/Junali__Junali__Junali_16.npy,Cramp,junali,14
landmarks/Injury/Umiraj/Umiraj__Umiraj__UMIRAJ_10.npy,Injury,umiraj,28
landmarks/HEAT BURN/chayanika/CHAYANIKA_ 37.npy,HEAT BURN,chayanika,25
landmarks/Diabetes/rinki/RINKI_33.npy,Diabetes,rinki,17
landmarks/SORE THROAT/prakash/PRAKASH_24.npy,SORE THROAT,prakash,37
landmarks/STD/AKASH/AKASH__AKASH__AKASH_6.npy,STD,akash,38
landmarks/Swell/anindita/WIN_20250602_12_23_19_Pro.npy,Swell,anindita,43
landmarks/STD/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_23.npy,STD,arinjit kataki,38
landmarks/TB/Naresh/Naresh__Naresh__NARESH_32.npy,TB,naresh,44
landmarks/Hiv/rinki/RINKI_3.npy,Hiv,rinki,27
landmarks/TB/Akash/Akash__Akash__AKASH_1.npy,TB,akash,44
landmarks/Bleed/rajkumar/RAJKUMAR_28.npy,Bleed,rajkumar,6
landmarks/Back Ache/Rinki/Rinki__Rinki__Rinki_15.npy,Back Ache,rinki,5
landmarks/Vomit/Shubham/Shubham__Shubham__SHUBHAM_7.npy,Vomit,shubham,46
landmarks/Sore Finger/Junali/Junali__Junali__Junali_12.npy,Sore Finger,junali,41
landmarks/CONJUCTIVITIES/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_26.npy,CONJUCTIVITIES,arinjit kataki,10
landmarks/STD/AKASH/AKASH__AKASH__AKASH_52.npy,STD,akash,38
landmarks/RUNNY NOSE/harkhapratim gogoi/HARKAPRATIM_6.npy,RUNNY NOSE,harkhapratim gogoi,33
landmarks/BLOOD PRESSURE/AKASH/AKASH__AKASH__AKASH_15.npy,BLOOD PRESSURE,akash,2
landmarks/MUMPSE/NARESH/NARESH__NARESH__NARESH_25.npy,MUMPSE,naresh,31
landmarks/BROKEN BONES/prakash/PRAKASH_8.npy,BROKEN BONES,prakash,3
landmarks/Sunburn/Kalyan/Kalyan__Kalyan__KALYAN_38.mp4.npy,Sunburn,kalyan,42
landmarks/Sneeze/Anindita/Anindita__Anindita__WIN_20250602_12_21_39_Pro.npy,Sneeze,anindita,40
landmarks/Ear Ache/Kalyan/Kalyan__Kalyan__KALYAN_12.npy,Ear Ache,kalyan,19
landmarks/Faint/junali/JUNALI_19.npy,Faint,junali,21
landmarks/SHOULDER PAIN/chayanika/CHAYANIKA_18.npy,SHOULDER PAIN,chayanika,36
landmarks/Measles/rajkumar/RAJKUMAR_4.npy,Measles,rajkumar,32
landmarks/SORE THROAT/chayanika/CHAYANIKA_11.npy,SORE THROAT,chayanika,37
landmarks/Faint/rajkumar/RAJKUMAR_28.npy,Faint,rajkumar,21
landmarks/HEAD ACHE/arinjit kataki/ARINJIT_21.npy,HEAD ACHE,arinjit kataki,23
landmarks/Broken Arm/Shubham/Shubham__Shubham__SHUBHAM_11.npy,Broken Arm,shubham,8
landmarks/Cancer/rupanjali/RUPANJALI_30.npy,Cancer,rupanjali,11
landmarks/FLU/pranati/PRANATI_16.npy,FLU,pranati,20
landmarks/STD/AKASH/AKASH__AKASH__AKASH_20.npy,STD,akash,38
landmarks/Tooth ache/anindita/Anindita_14.npy,Tooth ache,anindita,45
landmarks/Bone Fracture/anindita/ANINDITA_17.npy,Bone Fracture,anindita,7
landmarks/Sneeze/Anindita/Anindita__Anindita__WIN_20250602_12_20_12_Pro.npy,Sneeze,anindita,40
landmarks/SHOULDER PAIN/prakash/PRAKASH_13.npy,SHOULDER PAIN,prakash,36
landmarks/Broken Arm/Kalyan/Kalyan__Kalyan__KALYAN_7.npy,Broken Arm,kalyan,8
landmarks/HEPATITIS/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_15.npy,HEPATITIS,harkhapratim gogoi,26
landmarks/Itch/junali/JUNALI_9.npy,Itch,junali,29
landmarks/Cut/Kalyan/Kalyan__Kalyan__KALYAN_10.npy,Cut,kalyan,15
landmarks/Hiv/rajkumar/RAJKUMAR_15.npy,Hiv,rajkumar,27
landmarks/HEART ATTACK/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_27.npy,HEART ATTACK,harkhapratim gogoi,24
landmarks/Rash/Bishal/Bishal__Bishal__BISHAL_9.npy,Rash,bishal,34
landmarks/BLOOD PRESSURE/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_5.npy,BLOOD PRESSURE,harkhapratim gogoi,2
landmarks/Tooth ache/anindita/WIN_20250602_12_10_49_Pro.npy,Tooth ache,anindita,45
landmarks/JAUNDICE/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_15.npy,JAUNDICE,harkhapratim gogoi,30
landmarks/Back Ache/Anindita/Anindita__Anindita__Anindita_18.npy,Back Ache,anindita,5
landmarks/ASTHMA/NARESH/NARESH__NARESH__NARESH_21.npy,ASTHMA,naresh,0
landmarks/BRUISE/harkhapratim gogoi/HARKAPRATIM_19.npy,BRUISE,harkhapratim gogoi,4
landmarks/Hiv/rajkumar/RAJKUMAR_27.npy,Hiv,rajkumar,27
landmarks/Itch/rupanjali/RUPANJALI_18.npy,Itch,rupanjali,29
landmarks/TB/Akash/Akash__Akash__AKASH_24.npy,TB,akash,44
landmarks/Tooth ache/Rupanjali/Rupanjali__Rupanjali__Rupanjali_5.npy,Tooth ache,rupanjali,45
landmarks/HEAD ACHE/chayanika/CHAYANIKA_2.npy,HEAD ACHE,chayanika,23
landmarks/Ear Ache/Shubham/Shubham__Shubham__SHUBHAM_28.npy,Ear Ache,shubham,19
landmarks/nausea/rinki/RINKI_12.npy,nausea,rinki,47
landmarks/HEAT BURN/prakash/PRAKASH_10.npy,HEAT BURN,prakash,25
landmarks/Cough/Umiraj/Umiraj__Umiraj__UMIRAJ_5.npy,Cough,umiraj,13
landmarks/Cramp/Junali/Junali__Junali__Junali_1.npy,Cramp,junali,14
landmarks/nausea/rupanjali/RUPANJALI_22.npy,nausea,rupanjali,47
landmarks/Ear Ache/Kalyan/Kalyan__Kalyan__KALYAN_22.npy,Ear Ache,kalyan,19
landmarks/Fever/Junali/Junali__Junali__WIN_20250602_12_06_35_Pro.npy,Fever,junali,22
landmarks/HEPATITIS/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_1.npy,HEPATITIS,harkhapratim gogoi,26
landmarks/Bone Fracture/junali/JUNALI_14.npy,Bone Fracture,junali,7
landmarks/Fever/Rinki/Rinki__Rinki__WIN_20250602_12_57_20_Pro.npy,Fever,rinki,22
landmarks/MUMPSE/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM20.npy,MUMPSE,harkhapratim gogoi,31
landmarks/TB/Arinjit Kataki/Arinjit_Kataki__Arinjit_Kataki__ARINJIT_23.npy,TB,arinjit kataki,44
landmarks/Swell/Rinki/Rinki__Rinki__WIN_20250602_12_42_51_Pro.npy,Swell,rinki,43
landmarks/Vomit/Bishal/Bishal__Bishal__BISHAL_17.npy,Vomit,bishal,46
landmarks/Hiv/rupanjali/RUPANJALI_17.npy,Hiv,rupanjali,27
landmarks/Tooth ache/anindita/Anindita_8.npy,Tooth ache,anindita,45
landmarks/HEART ATTACK/AKASH/AKASH__AKASH__AKASH_1.npy,HEART ATTACK,akash,24
landmarks/JAUNDICE/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_22.npy,JAUNDICE,harkhapratim gogoi,30
landmarks/Vomit/Bishal/Bishal__Bishal__BISHAL_3.npy,Vomit,bishal,46
landmarks/Cut/Kalyan/Kalyan__Kalyan__KALYAN_30.npy,Cut,kalyan,15
landmarks/BLOOD PRESSURE/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_12.npy,BLOOD PRESSURE,harkhapratim gogoi,2
landmarks/Faint/anindita/ANINDITA_13.npy,Faint,anindita,21
landmarks/STOMACH ACHE/arinjit kataki/ARINJIT_42.npy,STOMACH ACHE,arinjit kataki,39
landmarks/Vomit/Bishal/Bishal__Bishal__BISHAL_11.npy,Vomit,bishal,46
landmarks/JAUNDICE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_52.npy,JAUNDICE,arinjit kataki,30
landmarks/STOMACH ACHE/arinjit kataki/ARINJIT_39.npy,STOMACH ACHE,arinjit kataki,39
landmarks/Tooth ache/anindita/WIN_20250602_12_11_00_Pro.npy,Tooth ache,anindita,45
landmarks/Ear Ache/Bishal/Bishal__Bishal__BISHAL_15.npy,Ear Ache,bishal,19
landmarks/Tooth ache/Rinki/Rinki__Rinki__WIN_20250602_12_30_45_Pro.npy,Tooth ache,rinki,45
landmarks/nausea/rupanjali/RUPANJALI_25.npy,nausea,rupanjali,47
landmarks/Faint/rupanjali/RUPANJALI_17.npy,Faint,rupanjali,21
landmarks/Sunburn/Kalyan/Kalyan__Kalyan__KALYAN_42.mp4.npy,Sunburn,kalyan,42
landmarks/JAUNDICE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_10.npy,JAUNDICE,arinjit kataki,30
landmarks/Broken Arm/Umiraj/Umiraj__Umiraj__UMIRAJ_14.npy,Broken Arm,umiraj,8
landmarks/Bleed/rajkumar/RAJKUMAR_14.npy,Bleed,rajkumar,6
landmarks/Sore Finger/Anindita/Anindita__Anindita__WIN_20250602_12_16_32_Pro.npy,Sore Finger,anindita,41
landmarks/HEAD ACHE/harkhapratim gogoi/HARKAPRATIM_19.npy,HEAD ACHE,harkhapratim gogoi,23
landmarks/TB/Akash/Akash__Akash__AKASH_13.npy,TB,akash,44
landmarks/Sore Finger/Anindita/Anindita__Anindita__Anindita_10.npy,Sore Finger,anindita,41
landmarks/Back Ache/Rinki/Rinki__Rinki__WIN_20250602_12_31_53_Pro.npy,Back Ache,rinki,5
landmarks/STOMACH ACHE/arinjit kataki/ARINJIT_41.npy,STOMACH ACHE,arinjit kataki,39
landmarks/MUMPSE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_13.npy,MUMPSE,arinjit kataki,31
landmarks/Injury/Kalyan/Kalyan__Kalyan__KALYAN_27.npy,Injury,kalyan,28
landmarks/Fever/Rinki/Rinki__Rinki__Rinki_14.npy,Fever,rinki,22
landmarks/HEPATITIS/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_31.npy,HEPATITIS,arinjit kataki,26
landmarks/CONJUCTIVITIES/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_10.npy,CONJUCTIVITIES,harkhapratim gogoi,10
landmarks/Diabetes/anindita/ANINDITA_15.npy,Diabetes,anindita,17
landmarks/RUNNY NOSE/pranati/PRANATI_4.npy,RUNNY NOSE,pranati,33
landmarks/Allergies/Kalyan/Kalyan__Kalyan__KALYAN_9.npy,Allergies,kalyan,1
landmarks/Retching/rupanjali/RUPANJALI_3.npy,Retching,rupanjali,35
landmarks/FLU/chayanika/CHAYANIKA_10.npy,FLU,chayanika,20
landmarks/Itch/anindita/ANINDITA_44.npy,Itch,anindita,29
landmarks/Sore Finger/Junali/Junali__Junali__Junali_7.npy,Sore Finger,junali,41
landmarks/SHOULDER PAIN/harkhapratim gogoi/HARKAPRATIM_17.npy,SHOULDER PAIN,harkhapratim gogoi,36
landmarks/nausea/rupanjali/RUPANJALI_4.npy,nausea,rupanjali,47
landmarks/DIARRHOEA/Naresh/Naresh__Naresh__NARESH_37.npy,DIARRHOEA,naresh,16
landmarks/HEPATITIS/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_35.npy,HEPATITIS,arinjit kataki,26
landmarks/Rash/Shubham/Shubham__Shubham__SHUBHAM_1.npy,Rash,shubham,34
landmarks/DIARRHOEA/Akash/Akash__Akash__AKASH_30.npy,DIARRHOEA,akash,16
landmarks/HEAD ACHE/prakash/PRAKASH_12.npy,HEAD ACHE,prakash,23
landmarks/HEAD ACHE/prakash/PRAKASH_14.npy,HEAD ACHE,prakash,23
landmarks/Bone Fracture/anindita/ANINDITA_23.npy,Bone Fracture,anindita,7
landmarks/STD/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_41.npy,STD,arinjit kataki,38
landmarks/Cancer/rinki/RINKI_37.npy,Cancer,rinki,11
landmarks/Fever/Rinki/Rinki__Rinki__WIN_20250602_12_58_38_Pro.npy,Fever,rinki,22
landmarks/Dizziness/Rinki/Rinki__Rinki__Rinki_13.npy,Dizziness,rinki,18
landmarks/Diabetes/rupanjali/RUPANJALI_18.npy,Diabetes,rupanjali,17
landmarks/SHOULDER PAIN/harkhapratim gogoi/HARKAPRATIM_16.npy,SHOULDER PAIN,harkhapratim gogoi,36
landmarks/Bleed/rajkumar/RAJKUMAR_30.npy,Bleed,rajkumar,6
